#run	Ein	Eout	pressure	before	after	targetTrans	+/-	sepTrans	+/-	CSF	+/-
23182	282.9	259.5	6.91	6.15E-007	6.24E-007	0.94	0.01	0.99	0.02	0.48	0.05
23183	282.9	259.5	6.9	6.24E-007	6.27E-007	0.94	0.01	0.99	0.02	0.48	0.05
23184	282.9	259.5	6.89	6.15E-007	6.18E-007	0.94	0.01	0.99	0.02	0.48	0.05
23185	282.9	259.5	6.88	6.07E-007	6.35E-007	0.94	0.01	0.99	0.02	0.48	0.05
23186	282.9	259.5	6.86	6.05E-007	6.20E-007	0.94	0.01	0.99	0.02	0.48	0.05
23187	282.9	259.5	6.86	6.29E-007	6.22E-007	0.94	0.01	0.99	0.02	0.48	0.05
23188	282.9	259.5	6.84	6.26E-007	6.03E-007	0.94	0.01	0.99	0.02	0.48	0.05
23189	282.9	259.5	6.83	6.08E-007	5.84E-007	0.94	0.01	0.99	0.02	0.48	0.05
23190	282.9	259.5	6.82	6.00E-007	5.63E-007	0.94	0.01	0.99	0.02	0.48	0.05
23191	282.9	259.5	6.83	5.60E-007	5.53E-007	0.94	0.01	0.99	0.02	0.48	0.05
23192	282.9	259.5	6.83	5.57E-007	5.43E-007	0.94	0.01	0.99	0.02	0.48	0.05
23193	282.9	259.5	6.84	5.68E-007	5.70E-007	0.94	0.01	0.99	0.02	0.48	0.05
23194	282.9	259.5	6.84	5.96E-007	5.52E-007	0.94	0.01	0.99	0.02	0.48	0.05
23196	282.9	259.5	6.82	5.66E-007	5.75E-007	0.94	0.01	0.99	0.02	0.27	0.1
23197	282.9	259.5	6.86	5.80E-007	5.88E-007	0.94	0.01	0.99	0.02	0.27	0.1
23198	282.9	259.5	6.95	5.95E-007	5.98E-007	0.94	0.01	0.99	0.02	0.27	0.1
23199	282.9	259.5	6.96	5.98E-007	6.15E-007	0.94	0.01	0.99	0.02	0.27	0.1
23200	282.9	259.5	6.9	6.25E-007	6.26E-007	0.94	0.01	0.99	0.02	0.27	0.1
23201	282.9	259.5	6.89	6.28E-007	6.08E-007	0.94	0.01	0.99	0.02	0.27	0.1
23202	282.9	259.5	6.88	6.01E-007	6.39E-007	0.94	0.01	0.99	0.02	0.27	0.1
23203	282.9	259.5	6.87	6.36E-007	6.33E-007	0.94	0.01	0.99	0.02	0.27	0.1
23204	282.9	259.5	6.87	6.40E-007	6.10E-007	0.94	0.01	0.99	0.02	0.27	0.1
23205	282.9	259.5	6.88	6.10E-007	6.16E-007	0.94	0.01	0.99	0.02	0.27	0.1
23206	282.9	259.5	6.8	6.18E-007	6.25E-007	0.94	0.01	0.99	0.02	0.27	0.1
23207	282.9	259.5	6.81	6.25E-007	6.24E-007	0.94	0.01	0.99	0.02	0.27	0.1
23208	282.9	259.5	6.8	6.15E-007	6.38E-007	0.94	0.01	0.99	0.02	0.27	0.1
23209	282.9	259.5	6.8	6.44E-007	6.13E-007	0.94	0.01	0.99	0.02	0.27	0.1
23210	282.9	259.5	6.78	6.13E-007	6.06E-007	0.94	0.01	0.99	0.02	0.27	0.1
23211	282.9	259.5	6.78	6.18E-007	5.89E-007	0.94	0.01	0.99	0.02	0.27	0.1
23212	282.9	259.5	6.77	5.96E-007	5.25E-007	0.94	0.01	0.99	0.02	0.27	0.1
23213	282.9	259.5	6.77	5.32E-007	5.33E-007	0.94	0.01	0.99	0.02	0.27	0.1
23214	282.9	259.5	6.78	5.26E-007	5.52E-007	0.94	0.01	0.99	0.02	0.27	0.1
23215	282.9	259.5	6.77	5.51E-007	5.10E-007	0.94	0.01	0.99	0.02	0.27	0.1
23216	282.9	259.5	6.78	5.10E-007	5.40E-007	0.94	0.01	0.99	0.02	0.27	0.1
23217	282.9	259.5	6.78	5.31E-007	5.04E-007	0.94	0.01	0.99	0.02	0.27	0.1
23218	282.9	259.5	6.77	4.80E-007	5.43E-007	0.94	0.01	0.99	0.02	0.27	0.1
23219	282.9	259.5	6.76	5.48E-007	5.20E-007	0.94	0.01	0.99	0.02	0.27	0.1
23220	282.9	259.5	6.76	5.10E-007	5.44E-007	0.94	0.01	0.99	0.02	0.27	0.1
23221	282.9	259.5	6.76	5.53E-007	5.81E-007	0.94	0.01	0.99	0.02	0.27	0.1
23222	282.9	259.5	6.88	5.91E-007	6.08E-007	0.94	0.01	0.99	0.02	0.27	0.1
23224	282.9	259.5	6.92	5.97E-007	6.15E-007	0.94	0.01	0.99	0.02	0.15	0.1
23225	282.9	259.5	6.85	6.05E-007	6.40E-007	0.94	0.01	0.99	0.02	0.15	0.1
23226	282.9	259.5	6.84	6.29E-007	6.46E-007	0.94	0.01	0.99	0.02	0.15	0.1
23227	282.9	259.5	6.82	6.49E-007	6.34E-007	0.94	0.01	0.99	0.02	0.15	0.1
23228	282.9	259.5	6.82	6.41E-007	6.36E-007	0.94	0.01	0.99	0.02	0.15	0.1
23229	282.9	259.5	6.79	6.14E-007	6.40E-007	0.94	0.01	0.99	0.02	0.15	0.1
23230	282.9	259.5	6.81	6.45E-007	6.17E-007	0.94	0.01	0.99	0.02	0.15	0.1
23231	282.9	259.5	6.8	6.37E-007	6.33E-007	0.94	0.01	0.99	0.02	0.15	0.1
23232	282.9	259.5	6.78	6.41E-007	5.86E-007	0.94	0.01	0.99	0.02	0.15	0.1
23233	282.9	259.5	6.77	5.52E-007	5.66E-007	0.94	0.01	0.99	0.02	0.15	0.1
23234	282.9	259.5	6.76	5.51E-007	5.89E-007	0.94	0.01	0.99	0.02	0.15	0.1
23235	282.9	259.5	6.75	5.88E-007	5.58E-007	0.94	0.01	0.99	0.02	0.15	0.1
23236	282.9	259.5	6.73	5.57E-007	5.43E-007	0.94	0.01	0.99	0.02	0.15	0.1
23237	282.9	259.5	6.72	5.34E-007	5.22E-007	0.94	0.01	0.99	0.02	0.15	0.1
23238	282.9	259.5	6.72	5.04E-007	5.35E-007	0.94	0.01	0.99	0.02	0.15	0.1
23239	282.9	259.5	6.73	5.49E-007	4.93E-007	0.94	0.01	0.99	0.02	0.15	0.1
23240	282.9	259.5	6.73	4.94E-007	4.85E-007	0.94	0.01	0.99	0.02	0.15	0.1
23241	282.9	259.5	6.74	4.79E-007	4.63E-007	0.94	0.01	0.99	0.02	0.15	0.1
